SPE;LCB  ;LSM  ; LBM;LP  ;LM  ;LAM
DOGUE ALLEMAND;2410;1190;870;210;147;183 
DOGUE ALLEMAND;2420;1200;850;199;153;176 
DOGUE ALLEMAND;2550;1260;860;214;150;180 
DOGUE ALLEMAND;2340;1130;830;213;148;170 
LEVRIER;2180;1120;650;203;139;170
LEVRIER;1780;970;570;173;128;143
LEVRIER;2120;1140;650;205;143;155 
LEVRIER;2210;1230;620;212;152;170 
LOUP;1990;1050;730;234;150;191
LOUP;2270;1170;770;250;153;186
LOUP;2280;1220;820;247;150;185
LOUP;2320;1230;830;253;168;155
LOUP;2310;1210;780;235;165;196
LOUP;2150;1180;740;257;157;190
LOUP;1840;1000;690;233;158;197
LOUP;1750;940;730;222;148;170
LOUP;2390;1240;770;250;168;270
LOUP;2030;1090;700;233;150;187
LOUP;2260;1180;720;260;160;194
LOUP;2260;1190;770;265;168;193
BRIARD;2280;1220;780;225;142;178
BRIARD;2120;1110;730;205;137;166
